Position,From,To,Academic Connection,Country Connection,Music Connection,Sports Connection,Movie Connection
1244,15,54,,,,,
1245,15,55,,,,,
1246,15,56,,,,,
1247,15,57,,,,,
1248,15,58,,,,,
1249,15,59,,,,,
1250,15,60,,,,,
1251,15,61,,,,,
1252,15,62,,,,,
1253,15,63,,,,,
1254,15,64,,,,,
1255,15,65,,,,,
1256,15,66,,,,,
1257,15,67,,,,,
1258,15,68,,,,,
1259,15,69,,,,,
1260,15,70,,,,,
1261,15,71,,,,,
1262,15,72,,,,,
1263,15,73,,,,,
1264,15,74,,,,,
1265,15,75,,,,,
1266,15,76,,,,,
1267,15,77,,,,,
1268,15,78,,,,,
1269,15,79,,,,,
1270,15,80,,,,,
1271,15,81,,,,,
1272,15,82,,,,,
1273,15,83,,,,,
1274,15,84,,,,,
1275,15,85,,,,,
1276,16,1,,,,,
1277,16,2,,,,,
1278,16,3,,,,,
1279,16,4,,,,,
1280,16,5,,,,,
1281,16,6,,,,,
1282,16,7,,,,,
1283,16,8,,,,,
1284,16,9,,,,,
1285,16,10,,,,,
1286,16,11,,,,,
1287,16,12,,,,,
1288,16,13,,,,,
1289,16,14,,,,,
1290,16,15,,,,,
1291,16,16,,,,,
1292,16,17,,,,,
1293,16,18,,,,,
1294,16,19,,,,,
1295,16,20,,,,,
1296,16,21,,,,,
1297,16,22,,,,,
1298,16,23,,,,,
1299,16,24,,,,,
1300,16,25,,,,,
1301,16,26,,,,,
1302,16,27,,,,,
1303,16,28,,,,,
1304,16,29,,,,,
1305,16,30,,,,,
1306,16,31,,,,,
1307,16,32,,,,,
1308,16,33,,,,,
1309,16,34,,,,,
1310,16,35,,,,,
1311,16,36,,,,,
1312,16,37,,,,,
1313,16,38,,,,,
1314,16,39,,,,,
1315,16,40,,,,,
1316,16,41,,,,,
1317,16,42,,,,,
1318,16,43,,,,,
1319,16,44,,,,,
1320,16,45,,,,,
1321,16,46,,,,,
1322,16,47,,,,,
1323,16,48,,,,,
1324,16,49,,,,,
1325,16,50,,,,,
1326,16,51,,,,,
1327,16,52,,,,,
1328,16,53,,,,,
1329,16,54,,,,,
1330,16,55,,,,,
1331,16,56,,,,,
1332,16,57,,,,,
1333,16,58,,,,,
1334,16,59,,,,,
1335,16,60,,,,,
1336,16,61,,,,,
1337,16,62,,,,,
1338,16,63,,,,,
1339,16,64,,,,,
1340,16,65,,,,,
1341,16,66,,,,,
1342,16,67,,,,,
1343,16,68,,,,,
1344,16,69,,,,,
1345,16,70,,,,,
1346,16,71,,,,,
1347,16,72,,,,,
1348,16,73,,,,,
1349,16,74,,,,,
1350,16,75,,,,,
1351,16,76,,,,,
1352,16,77,,,,,
1353,16,78,,,,,
1354,16,79,,,,,
1355,16,80,,,,,
1356,16,81,,,,,
1357,16,82,,,,,
1358,16,83,,,,,
1359,16,84,,,,,
1360,16,85,,,,,
1361,17,1,,,,,
1362,17,2,,,,,
1363,17,3,,,,,
1364,17,4,,,,,
1365,17,5,,,,,
1366,17,6,,,,,
1367,17,7,,,,,
1368,17,8,,,,,
1369,17,9,,,,,
1370,17,10,,,,,
1371,17,11,,,,,
1372,17,12,,,,,
1373,17,13,,,,,
1374,17,14,,,,,
1375,17,15,,,,,
1376,17,16,,,,,
1377,17,17,,,,,
1378,17,18,,,,,
1379,17,19,,,,,
1380,17,20,,,,,
1381,17,21,,,,,
1382,17,22,,,,,
1383,17,23,,,,,
1384,17,24,,,,,
1385,17,25,,,,,
1386,17,26,,,,,
1387,17,27,,,,,
1388,17,28,,,,,
1389,17,29,,,,,
1390,17,30,,,,,
1391,17,31,,,,,
1392,17,32,,,,,
1393,17,33,,,,,
1394,17,34,,,,,
1395,17,35,,,,,
1396,17,36,,,,,
1397,17,37,,,,,
1398,17,38,,,,,
1399,17,39,,,,,
1400,17,40,,,,,
1401,17,41,,,,,
1402,17,42,,,,,
1403,17,43,,,,,
1404,17,44,,,,,
1405,17,45,,,,,
1406,17,46,,,,,
1407,17,47,,,,,
1408,17,48,,,,,
1409,17,49,,,,,
1410,17,50,,,,,
1411,17,51,,,,,
1412,17,52,,,,,
1413,17,53,,,,,
1414,17,54,,,,,
1415,17,55,,,,,
1416,17,56,,,,,
1417,17,57,,,,,
1418,17,58,,,,,
1419,17,59,,,,,
1420,17,60,,,,,
1421,17,61,,,,,
1422,17,62,,,,,
1423,17,63,,,,,
1424,17,64,,,,,
1425,17,65,,,,,
1426,17,66,,,,,
1427,17,67,,,,,
1428,17,68,,,,,
1429,17,69,,,,,
1430,17,70,,,,,
1431,17,71,,,,,
1432,17,72,,,,,
1433,17,73,,,,,
1434,17,74,,,,,
1435,17,75,,,,,
1436,17,76,,,,,
1437,17,77,,,,,
1438,17,78,,,,,
1439,17,79,,,,,
1440,17,80,,,,,
1441,17,81,,,,,
1442,17,82,,,,,
1443,17,83,,,,,
1444,17,84,,,,,
1445,17,85,,,,,
1446,18,1,,,,,
1447,18,2,,,,,
1448,18,3,,,,,
1449,18,4,,,,,
1450,18,5,,,,,
1451,18,6,,,,,
1452,18,7,,,,,
1453,18,8,,,,,
1454,18,9,,,,,
1455,18,10,,,,,
1456,18,11,,,,,
1457,18,12,,,,,
1458,18,13,,,,,
1459,18,14,,,,,
1460,18,15,,,,,
1461,18,16,,,,,
1462,18,17,,,,,
1463,18,18,,,,,
1464,18,19,,,,,
1465,18,20,,,,,
1466,18,21,,,,,
1467,18,22,,,,,
1468,18,23,,,,,
1469,18,24,,,,,
1470,18,25,,,,,
1471,18,26,,,,,
1472,18,27,,,,,
1473,18,28,,,,,
1474,18,29,,,,,
1475,18,30,,,,,
1476,18,31,,,,,
1477,18,32,,,,,
1478,18,33,,,,,
1479,18,34,,,,,
1480,18,35,,,,,
1481,18,36,,,,,
1482,18,37,,,,,
1483,18,38,,,,,
1484,18,39,,,,,
1485,18,40,,,,,
1486,18,41,,,,,
1487,18,42,,,,,
1488,18,43,,,,,
1489,18,44,,,,,
1490,18,45,,,,,
1491,18,46,,,,,
1492,18,47,,,,,
1493,18,48,,,,,
1494,18,49,,,,,
1495,18,50,,,,,
1496,18,51,,,,,
1497,18,52,,,,,
1498,18,53,,,,,
1499,18,54,,,,,
1500,18,55,,,,,
1501,18,56,,,,,
1502,18,57,,,,,
1503,18,58,,,,,
1504,18,59,,,,,
1505,18,60,,,,,
1506,18,61,,,,,
1507,18,62,,,,,
1508,18,63,,,,,
1509,18,64,,,,,
1510,18,65,,,,,
1511,18,66,,,,,
1512,18,67,,,,,
1513,18,68,,,,,
1514,18,69,,,,,
1515,18,70,,,,,
1516,18,71,,,,,
1517,18,72,,,,,
1518,18,73,,,,,
1519,18,74,,,,,
1520,18,75,,,,,
1521,18,76,,,,,
1522,18,77,,,,,
1523,18,78,,,,,
1524,18,79,,,,,
1525,18,80,,,,,
1526,18,81,,,,,
1527,18,82,,,,,
1528,18,83,,,,,
1529,18,84,,,,,
1530,18,85,,,,,
1531,19,1,,,,,
1532,19,2,,,,,
1533,19,3,,,,,
1534,19,4,,,,,
1535,19,5,,,,,
1536,19,6,,,,,
1537,19,7,,,,,
1538,19,8,,,,,
1539,19,9,,,,,
1540,19,10,,,,,
1541,19,11,,,,,
1542,19,12,,,,,
1543,19,13,,,,,
1544,19,14,,,,,
1545,19,15,,,,,
1546,19,16,,,,,
1547,19,17,,,,,
1548,19,18,,,,,
1549,19,19,,,,,
1550,19,20,,,,,
1551,19,21,,,,,
1552,19,22,,,,,
1553,19,23,,,,,
1554,19,24,,,,,
1555,19,25,,,,,
1556,19,26,,,,,
1557,19,27,,,,,
1558,19,28,,,,,
1559,19,29,,,,,
1560,19,30,,,,,
1561,19,31,,,,,
1562,19,32,,,,,
1563,19,33,,,,,
1564,19,34,,,,,
1565,19,35,,,,,
1566,19,36,,,,,
1567,19,37,,,,,
1568,19,38,,,,,
1569,19,39,,,,,
1570,19,40,,,,,
1571,19,41,,,,,
1572,19,42,,,,,
1573,19,43,,,,,
1574,19,44,,,,,
1575,19,45,,,,,
1576,19,46,,,,,
1577,19,47,,,,,
1578,19,48,,,,,
1579,19,49,,,,,
1580,19,50,,,,,
1581,19,51,,,,,
1582,19,52,,,,,
1583,19,53,,,,,
1584,19,54,,,,,
1585,19,55,,,,,
1586,19,56,,,,,
1587,19,57,,,,,
1588,19,58,,,,,
1589,19,59,,,,,
1590,19,60,,,,,
1591,19,61,,,,,
1592,19,62,,,,,
1593,19,63,,,,,
1594,19,64,,,,,
1595,19,65,,,,,
1596,19,66,,,,,
1597,19,67,,,,,
1598,19,68,,,,,
1599,19,69,,,,,
1600,19,70,,,,,
1601,19,71,,,,,
1602,19,72,,,,,
1603,19,73,,,,,
1604,19,74,,,,,
1605,19,75,,,,,
1606,19,76,,,,,
1607,19,77,,,,,
1608,19,78,,,,,
1609,19,79,,,,,
1610,19,80,,,,,
1611,19,81,,,,,
1612,19,82,,,,,
1613,19,83,,,,,
1614,19,84,,,,,
1615,19,85,,,,,
1616,20,1,,,,,
1617,20,2,,,,,
1618,20,3,,,,,
1619,20,4,,,,,
1620,20,5,,,,,
1621,20,6,,,,,
1622,20,7,,,,,
1623,20,8,,,,,
1624,20,9,,,,,
1625,20,10,,,,,
1626,20,11,,,,,
1627,20,12,,,,,
1628,20,13,,,,,
1629,20,14,,,,,
1630,20,15,,,,,
1631,20,16,,,,,
1632,20,17,,,,,
1633,20,18,,,,,
1634,20,19,,,,,
1635,20,20,,,,,
1636,20,21,,,,,
1637,20,22,,,,,
1638,20,23,,,,,
1639,20,24,,,,,
1640,20,25,,,,,
1641,20,26,,,,,
1642,20,27,,,,,
1643,20,28,,,,,
1644,20,29,,,,,
1645,20,30,,,,,
1646,20,31,,,,,
1647,20,32,,,,,
1648,20,33,,,,,
1649,20,34,,,,,
1650,20,35,,,,,
1651,20,36,,,,,
1652,20,37,,,,,
1653,20,38,,,,,
1654,20,39,,,,,
1655,20,40,,,,,
1656,20,41,,,,,
1657,20,42,,,,,
1658,20,43,,,,,
1659,20,44,,,,,
1660,20,45,,,,,
1661,20,46,,,,,
1662,20,47,,,,,
1663,20,48,,,,,
1664,20,49,,,,,
1665,20,50,,,,,
1666,20,51,,,,,
1667,20,52,,,,,
1668,20,53,,,,,
1669,20,54,,,,,
1670,20,55,,,,,
1671,20,56,,,,,
1672,20,57,,,,,
1673,20,58,,,,,
1674,20,59,,,,,
1675,20,60,,,,,
1676,20,61,,,,,
1677,20,62,,,,,
1678,20,63,,,,,
1679,20,64,,,,,
1680,20,65,,,,,
1681,20,66,,,,,
1682,20,67,,,,,
1683,20,68,,,,,
1684,20,69,,,,,
1685,20,70,,,,,
1686,20,71,,,,,
1687,20,72,,,,,
1688,20,73,,,,,
1689,20,74,,,,,
1690,20,75,,,,,
1691,20,76,,,,,
1692,20,77,,,,,
1693,20,78,,,,,
1694,20,79,,,,,
1695,20,80,,,,,
1696,20,81,,,,,
1697,20,82,,,,,
1698,20,83,,,,,
1699,20,84,,,,,
1700,20,85,,,,,
1701,21,1,,,,,
1702,21,2,,,,,
1703,21,3,,,,,
1704,21,4,,,,,
1705,21,5,,,,,
1706,21,6,,,,,
1707,21,7,,,,,
1708,21,8,,,,,
1709,21,9,,,,,
1710,21,10,,,,,
1711,21,11,,,,,
1712,21,12,,,,,
1713,21,13,,,,,
1714,21,14,,,,,
1715,21,15,,,,,
1716,21,16,,,,,
1717,21,17,,,,,
1718,21,18,,,,,
1719,21,19,,,,,
1720,21,20,,,,,
1721,21,21,,,,,
1722,21,22,,,,,
1723,21,23,,,,,
1724,21,24,,,,,
1725,21,25,,,,,
1726,21,26,,,,,
1727,21,27,,,,,
1728,21,28,,,,,
1729,21,29,,,,,
1730,21,30,,,,,
1731,21,31,,,,,
1732,21,32,,,,,
1733,21,33,,,,,
1734,21,34,,,,,
1735,21,35,,,,,
1736,21,36,,,,,
1737,21,37,,,,,
1738,21,38,,,,,
1739,21,39,,,,,
1740,21,40,,,,,
1741,21,41,,,,,
1742,21,42,,,,,
1743,21,43,,,,,
1744,21,44,,,,,
1745,21,45,,,,,
1746,21,46,,,,,
1747,21,47,,,,,
1748,21,48,,,,,
1749,21,49,,,,,
1750,21,50,,,,,
1751,21,51,,,,,
1752,21,52,,,,,
1753,21,53,,,,,
1754,21,54,,,,,
1755,21,55,,,,,
1756,21,56,,,,,
1757,21,57,,,,,
1758,21,58,,,,,
1759,21,59,,,,,
1760,21,60,,,,,
1761,21,61,,,,,
1762,21,62,,,,,
1763,21,63,,,,,
1764,21,64,,,,,
1765,21,65,,,,,
1766,21,66,,,,,
1767,21,67,,,,,
1768,21,68,,,,,
1769,21,69,,,,,
1770,21,70,,,,,
1771,21,71,,,,,
1772,21,72,,,,,
1773,21,73,,,,,
1774,21,74,,,,,
1775,21,75,,,,,
1776,21,76,,,,,
1777,21,77,,,,,
1778,21,78,,,,,
1779,21,79,,,,,
1780,21,80,,,,,
1781,21,81,,,,,
1782,21,82,,,,,
1783,21,83,,,,,
1784,21,84,,,,,
1785,21,85,,,,,
1786,22,1,,,,,
1787,22,2,,,,,
1788,22,3,,,,,
1789,22,4,,,,,
1790,22,5,,,,,
1791,22,6,,,,,
1792,22,7,,,,,
1793,22,8,,,,,
1794,22,9,,,,,
1795,22,10,,,,,
1796,22,11,,,,,
1797,22,12,,,,,
1798,22,13,,,,,
1799,22,14,,,,,
1800,22,15,,,,,
1801,22,16,,,,,
1802,22,17,,,,,
1803,22,18,,,,,
1804,22,19,,,,,
1805,22,20,,,,,
1806,22,21,,,,,
1807,22,22,,,,,
1808,22,23,,,,,
1809,22,24,,,,,
1810,22,25,,,,,
1811,22,26,,,,,
1812,22,27,,,,,
1813,22,28,,,,,
1814,22,29,,,,,
1815,22,30,,,,,
1816,22,31,,,,,
1817,22,32,,,,,
1818,22,33,,,,,
1819,22,34,,,,,
1820,22,35,,,,,
1821,22,36,,,,,
1822,22,37,,,,,
1823,22,38,,,,,
1824,22,39,,,,,
1825,22,40,,,,,
1826,22,41,,,,,
1827,22,42,,,,,
1828,22,43,,,,,
1829,22,44,,,,,
1830,22,45,,,,,
1831,22,46,,,,,
1832,22,47,,,,,
1833,22,48,,,,,
1834,22,49,,,,,
1835,22,50,,,,,
1836,22,51,,,,,
1837,22,52,,,,,
1838,22,53,,,,,
1839,22,54,,,,,
1840,22,55,,,,,
1841,22,56,,,,,
1842,22,57,,,,,
1843,22,58,,,,,
1844,22,59,,,,,
1845,22,60,,,,,
1846,22,61,,,,,
1847,22,62,,,,,
1848,22,63,,,,,
1849,22,64,,,,,
1850,22,65,,,,,
1851,22,66,,,,,
1852,22,67,,,,,
1853,22,68,,,,,
1854,22,69,,,,,
1855,22,70,,,,,
1856,22,71,,,,,
1857,22,72,,,,,
1858,22,73,,,,,
1859,22,74,,,,,
1860,22,75,,,,,
1861,22,76,,,,,
1862,22,77,,,,,
1863,22,78,,,,,
1864,22,79,,,,,
1865,22,80,,,,,
1866,22,81,,,,,
1867,22,82,,,,,
1868,22,83,,,,,
1869,22,84,,,,,
1870,22,85,,,,,
1871,23,1,,,,,
1872,23,2,,,,,
1873,23,3,,,,,
1874,23,4,,,,,
1875,23,5,,,,,
1876,23,6,,,,,
1877,23,7,,,,,
1878,23,8,,,,,
1879,23,9,,,,,
1880,23,10,,,,,
1881,23,11,,,,,
1882,23,12,,,,,
1883,23,13,,,,,
1884,23,14,,,,,
1885,23,15,,,,,
1886,23,16,,,,,
1887,23,17,,,,,
1888,23,18,,,,,
1889,23,19,,,,,
1890,23,20,,,,,
1891,23,21,,,,,
1892,23,22,,,,,
1893,23,23,,,,,
1894,23,24,,,,,
1895,23,25,,,,,
1896,23,26,,,,,
1897,23,27,,,,,
1898,23,28,,,,,
1899,23,29,,,,,
1900,23,30,,,,,
1901,23,31,,,,,
1902,23,32,,,,,
1903,23,33,,,,,
1904,23,34,,,,,
1905,23,35,,,,,
1906,23,36,,,,,
1907,23,37,,,,,
1908,23,38,,,,,
1909,23,39,,,,,
1910,23,40,,,,,
1911,23,41,,,,,
1912,23,42,,,,,
1913,23,43,,,,,
1914,23,44,,,,,
1915,23,45,,,,,
1916,23,46,,,,,
1917,23,47,,,,,
1918,23,48,,,,,
1919,23,49,,,,,
1920,23,50,,,,,
1921,23,51,,,,,
1922,23,52,,,,,
1923,23,53,,,,,
1924,23,54,,,,,
1925,23,55,,,,,
1926,23,56,,,,,
1927,23,57,,,,,
1928,23,58,,,,,
1929,23,59,,,,,
1930,23,60,,,,,
1931,23,61,,,,,
1932,23,62,,,,,
1933,23,63,,,,,
1934,23,64,,,,,
1935,23,65,,,,,
1936,23,66,,,,,
1937,23,67,,,,,
1938,23,68,,,,,
1939,23,69,,,,,
1940,23,70,,,,,
1941,23,71,,,,,
1942,23,72,,,,,
1943,23,73,,,,,
1944,23,74,,,,,
1945,23,75,,,,,
1946,23,76,,,,,
1947,23,77,,,,,
1948,23,78,,,,,
1949,23,79,,,,,
1950,23,80,,,,,
1951,23,81,,,,,
1952,23,82,,,,,
1953,23,83,,,,,
1954,23,84,,,,,
1955,23,85,,,,,
1956,24,1,,,,,
1957,24,2,,,,,
1958,24,3,,,,,
1959,24,4,,,,,
1960,24,5,,,,,
1961,24,6,,,,,
1962,24,7,,,,,
1963,24,8,,,,,
1964,24,9,,,,,
1965,24,10,,,,,
1966,24,11,,,,,
1967,24,12,,,,,
1968,24,13,,,,,
1969,24,14,,,,,
1970,24,15,,,,,
1971,24,16,,,,,
1972,24,17,,,,,
1973,24,18,,,,,
1974,24,19,,,,,
1975,24,20,,,,,
1976,24,21,,,,,
1977,24,22,,,,,
1978,24,23,,,,,
1979,24,24,,,,,
1980,24,25,,,,,
1981,24,26,,,,,
1982,24,27,,,,,
1983,24,28,,,,,
1984,24,29,,,,,
1985,24,30,,,,,
1986,24,31,,,,,
1987,24,32,,,,,
1988,24,33,,,,,
1989,24,34,,,,,
1990,24,35,,,,,
1991,24,36,,,,,
1992,24,37,,,,,
1993,24,38,,,,,
1994,24,39,,,,,
1995,24,40,,,,,
1996,24,41,,,,,
1997,24,42,,,,,
1998,24,43,,,,,
1999,24,44,,,,,
2000,24,45,,,,,
2001,24,46,,,,,
2002,24,47,,,,,
2003,24,48,,,,,
2004,24,49,,,,,
2005,24,50,,,,,
2006,24,51,,,,,
2007,24,52,,,,,
2008,24,53,,,,,
2009,24,54,,,,,
2010,24,55,,,,,
2011,24,56,,,,,
2012,24,57,,,,,
2013,24,58,,,,,
2014,24,59,,,,,
2015,24,60,,,,,
2016,24,61,,,,,
2017,24,62,,,,,
2018,24,63,,,,,
2019,24,64,,,,,
2020,24,65,,,,,
2021,24,66,,,,,
2022,24,67,,,,,
2023,24,68,,,,,
2024,24,69,,,,,
2025,24,70,,,,,
2026,24,71,,,,,
2027,24,72,,,,,
2028,24,73,,,,,
2029,24,74,,,,,
2030,24,75,,,,,
2031,24,76,,,,,
2032,24,77,,,,,
2033,24,78,,,,,
2034,24,79,,,,,
2035,24,80,,,,,
2036,24,81,,,,,
2037,24,82,,,,,
2038,24,83,,,,,
2039,24,84,,,,,
2040,24,85,,,,,
2041,25,1,,,,,
2042,25,2,,,,,
2043,25,3,,,,,
2044,25,4,,,,,
2045,25,5,,,,,
2046,25,6,,,,,
2047,25,7,,,,,
2048,25,8,,,,,
2049,25,9,,,,,
2050,25,10,,,,,
2051,25,11,,,,,
2052,25,12,,,,,
2053,25,13,,,,,
2054,25,14,,,,,
2055,25,15,,,,,
2056,25,16,,,,,
2057,25,17,,,,,
2058,25,18,,,,,
2059,25,19,,,,,
2060,25,20,,,,,
2061,25,21,,,,,
2062,25,22,,,,,
2063,25,23,,,,,
2064,25,24,,,,,
2065,25,25,,,,,
2066,25,26,,,,,
2067,25,27,,,,,
2068,25,28,,,,,
2069,25,29,,,,,
2070,25,30,,,,,
2071,25,31,,,,,
2072,25,32,,,,,
2073,25,33,,,,,
2074,25,34,,,,,
2075,25,35,,,,,
2076,25,36,,,,,
2077,25,37,,,,,
2078,25,38,,,,,
2079,25,39,,,,,
2080,25,40,,,,,
2081,25,41,,,,,
2082,25,42,,,,,
2083,25,43,,,,,
2084,25,44,,,,,
2085,25,45,,,,,
2086,25,46,,,,,
2087,25,47,,,,,
2088,25,48,,,,,
2089,25,49,,,,,
2090,25,50,,,,,
2091,25,51,,,,,
2092,25,52,,,,,
2093,25,53,,,,,
2094,25,54,,,,,
2095,25,55,,,,,
2096,25,56,,,,,
2097,25,57,,,,,
2098,25,58,,,,,
2099,25,59,,,,,
2100,25,60,,,,,
2101,25,61,,,,,
2102,25,62,,,,,
2103,25,63,,,,,
2104,25,64,,,,,
2105,25,65,,,,,
2106,25,66,,,,,
2107,25,67,,,,,
2108,25,68,,,,,
2109,25,69,,,,,
2110,25,70,,,,,
2111,25,71,,,,,
2112,25,72,,,,,
2113,25,73,,,,,
2114,25,74,,,,,
2115,25,75,,,,,
2116,25,76,,,,,
2117,25,77,,,,,
2118,25,78,,,,,
2119,25,79,,,,,
2120,25,80,,,,,
2121,25,81,,,,,
2122,25,82,,,,,
2123,25,83,,,,,
2124,25,84,,,,,
2125,25,85,,,,,
2126,26,1,,,,,
2127,26,2,,,,,
2128,26,3,,,,,
2129,26,4,,,,,
2130,26,5,,,,,
2131,26,6,,,,,
2132,26,7,,,,,
2133,26,8,,,,,
2134,26,9,,,,,
2135,26,10,,,,,
2136,26,11,,,,,
2137,26,12,,,,,
2138,26,13,,,,,
2139,26,14,,,,,
2140,26,15,,,,,
2141,26,16,,,,,
2142,26,17,,,,,
2143,26,18,,,,,
2144,26,19,,,,,
2145,26,20,,,,,
2146,26,21,,,,,
2147,26,22,,,,,
2148,26,23,,,,,
2149,26,24,,,,,
2150,26,25,,,,,
2151,26,26,,,,,
2152,26,27,,,,,
2153,26,28,,,,,
2154,26,29,,,,,
2155,26,30,,,,,
2156,26,31,,,,,
2157,26,32,,,,,
2158,26,33,,,,,
2159,26,34,,,,,
2160,26,35,,,,,
2161,26,36,,,,,
2162,26,37,,,,,
2163,26,38,,,,,
2164,26,39,,,,,
2165,26,40,,,,,
2166,26,41,,,,,
2167,26,42,,,,,
2168,26,43,,,,,
2169,26,44,,,,,
2170,26,45,,,,,
2171,26,46,,,,,
2172,26,47,,,,,
2173,26,48,,,,,
2174,26,49,,,,,
2175,26,50,,,,,
2176,26,51,,,,,
2177,26,52,,,,,
2178,26,53,,,,,
2179,26,54,,,,,
2180,26,55,,,,,
2181,26,56,,,,,
2182,26,57,,,,,
2183,26,58,,,,,
2184,26,59,,,,,
2185,26,60,,,,,
2186,26,61,,,,,
2187,26,62,,,,,
2188,26,63,,,,,
2189,26,64,,,,,
2190,26,65,,,,,
2191,26,66,,,,,
2192,26,67,,,,,
2193,26,68,,,,,
2194,26,69,,,,,
2195,26,70,,,,,
2196,26,71,,,,,
2197,26,72,,,,,
2198,26,73,,,,,
2199,26,74,,,,,
2200,26,75,,,,,
2201,26,76,,,,,
2202,26,77,,,,,
2203,26,78,,,,,
2204,26,79,,,,,
2205,26,80,,,,,
2206,26,81,,,,,
2207,26,82,,,,,
2208,26,83,,,,,
2209,26,84,,,,,
2210,26,85,,,,,
2211,27,1,,,,,
2212,27,2,,,,,
2213,27,3,,,,,
2214,27,4,,,,,
2215,27,5,,,,,
2216,27,6,,,,,
2217,27,7,,,,,
2218,27,8,,,,,
2219,27,9,,,,,
2220,27,10,,,,,
2221,27,11,,,,,
2222,27,12,,,,,
2223,27,13,,,,,
2224,27,14,,,,,
2225,27,15,,,,,
2226,27,16,,,,,
2227,27,17,,,,,
2228,27,18,,,,,
2229,27,19,,,,,
2230,27,20,,,,,
2231,27,21,,,,,
2232,27,22,,,,,
2233,27,23,,,,,
2234,27,24,,,,,
2235,27,25,,,,,
2236,27,26,,,,,
2237,27,27,,,,,
2238,27,28,,,,,
2239,27,29,,,,,
2240,27,30,,,,,
2241,27,31,,,,,
2242,27,32,,,,,
2243,27,33,,,,,
2244,27,34,,,,,
2245,27,35,,,,,
2246,27,36,,,,,
2247,27,37,,,,,
2248,27,38,,,,,
2249,27,39,,,,,
2250,27,40,,,,,
2251,27,41,,,,,
2252,27,42,,,,,
2253,27,43,,,,,
2254,27,44,,,,,
2255,27,45,,,,,
2256,27,46,,,,,
2257,27,47,,,,,
2258,27,48,,,,,
2259,27,49,,,,,
2260,27,50,,,,,
2261,27,51,,,,,
2262,27,52,,,,,
2263,27,53,,,,,
2264,27,54,,,,,
2265,27,55,,,,,
2266,27,56,,,,,
2267,27,57,,,,,
2268,27,58,,,,,
2269,27,59,,,,,
2270,27,60,,,,,
2271,27,61,,,,,
2272,27,62,,,,,
2273,27,63,,,,,
2274,27,64,,,,,
2275,27,65,,,,,
2276,27,66,,,,,
2277,27,67,,,,,
2278,27,68,,,,,
2279,27,69,,,,,
2280,27,70,,,,,
2281,27,71,,,,,
2282,27,72,,,,,
2283,27,73,,,,,
2284,27,74,,,,,
2285,27,75,,,,,
2286,27,76,,,,,
2287,27,77,,,,,
2288,27,78,,,,,
2289,27,79,,,,,
2290,27,80,,,,,
2291,27,81,,,,,
2292,27,82,,,,,
2293,27,83,,,,,
2294,27,84,,,,,
2295,27,85,,,,,
2296,28,1,,,,,
2297,28,2,,,,,
2298,28,3,,,,,
2299,28,4,,,,,
2300,28,5,,,,,
2301,28,6,,,,,
2302,28,7,,,,,
2303,28,8,,,,,
2304,28,9,,,,,
2305,28,10,,,,,
2306,28,11,,,,,
2307,28,12,,,,,
2308,28,13,,,,,
2309,28,14,,,,,
2310,28,15,,,,,
2311,28,16,,,,,
2312,28,17,,,,,
2313,28,18,,,,,
2314,28,19,,,,,
2315,28,20,,,,,
2316,28,21,,,,,
2317,28,22,,,,,
2318,28,23,,,,,
2319,28,24,,,,,
2320,28,25,,,,,
2321,28,26,,,,,
2322,28,27,,,,,
2323,28,28,,,,,
2324,28,29,,,,,
2325,28,30,,,,,
2326,28,31,,,,,
2327,28,32,,,,,
2328,28,33,,,,,
2329,28,34,,,,,
2330,28,35,,,,,
2331,28,36,,,,,
2332,28,37,,,,,
2333,28,38,,,,,
2334,28,39,,,,,
2335,28,40,,,,,
2336,28,41,,,,,
2337,28,42,,,,,
2338,28,43,,,,,
2339,28,44,,,,,
2340,28,45,,,,,
2341,28,46,,,,,
2342,28,47,,,,,
2343,28,48,,,,,
2344,28,49,,,,,
2345,28,50,,,,,
2346,28,51,,,,,
2347,28,52,,,,,
2348,28,53,,,,,
2349,28,54,,,,,
2350,28,55,,,,,
2351,28,56,,,,,
2352,28,57,,,,,
2353,28,58,,,,,
2354,28,59,,,,,
2355,28,60,,,,,
2356,28,61,,,,,
2357,28,62,,,,,
2358,28,63,,,,,
2359,28,64,,,,,
2360,28,65,,,,,
2361,28,66,,,,,
2362,28,67,,,,,
2363,28,68,,,,,
2364,28,69,,,,,
2365,28,70,,,,,
2366,28,71,,,,,
2367,28,72,,,,,
2368,28,73,,,,,
2369,28,74,,,,,
2370,28,75,,,,,
2371,28,76,,,,,
2372,28,77,,,,,
2373,28,78,,,,,
2374,28,79,,,,,
2375,28,80,,,,,
2376,28,81,,,,,
2377,28,82,,,,,
2378,28,83,,,,,
2379,28,84,,,,,
2380,28,85,,,,,
2381,29,1,,,,,
2382,29,2,,,,,
2383,29,3,,,,,
2384,29,4,,,,,
2385,29,5,,,,,
2386,29,6,,,,,
2387,29,7,,,,,
2388,29,8,,,,,
2389,29,9,,,,,
2390,29,10,,,,,
2391,29,11,,,,,
2392,29,12,,,,,
2393,29,13,,,,,
2394,29,14,,,,,
2395,29,15,,,,,
2396,29,16,,,,,
2397,29,17,,,,,
2398,29,18,,,,,
2399,29,19,,,,,
2400,29,20,,,,,
2401,29,21,,,,,
2402,29,22,,,,,
2403,29,23,,,,,
2404,29,24,,,,,
2405,29,25,,,,,
2406,29,26,,,,,
